,MP,G,PTS,AST,TwoPA,FGA,WS,All_NBA
89,11513.0,466.0,4189.0,710.0,2597.0,3552.0,20.2,0
90,13605.0,527.0,6520.0,1134.0,4887.0,5524.0,27.3,0
91,27212.0,1005.0,8684.0,3480.0,5974.0,7287.0,51.3,0
92,5327.0,290.0,2172.0,269.0,927.0,1759.0,8.399999999999999,0
93,21792.0,777.0,8603.0,2221.0,5771.0,6334.0,69.50000000000001,0
94,10774.0,324.0,5728.0,1003.0,3147.0,4808.0,21.9,0
95,5440.0,336.0,2473.0,148.0,1702.0,1711.0,21.3,0
96,16410.0,758.0,6575.0,608.0,5067.0,5125.0,42.9,0
97,15849.0,495.0,7490.0,2929.0,4292.0,6778.0,28.799999999999997,0
98,11592.0,371.0,5673.0,1580.0,3219.0,4904.0,11.600000000000001,0
99,11561.0,326.0,6136.0,1517.0,3924.0,4849.0,37.5,2
100,10564.0,481.0,3250.0,468.0,1561.0,2861.0,11.2,0
101,17939.0,788.0,5312.0,417.0,3840.0,3843.0,41.599999999999994,0
102,23384.0,895.0,8418.0,2871.0,2831.0,6239.0,70.0,0
103,5113.0,285.0,1819.0,869.0,573.0,1313.0,11.999999999999998,0
104,17466.0,688.0,5195.0,4350.0,4627.0,4741.0,32.1,0
105,6477.0,456.0,2108.0,465.0,975.0,1628.0,15.4,0
106,5433.0,390.0,2255.0,246.0,1353.0,1997.0,10.6,0
107,21417.0,756.0,7933.0,923.0,6304.0,6332.0,54.60000000000001,0
108,5070.0,293.0,1999.0,705.0,1186.0,1781.0,7.2,0
109,6772.0,520.0,1594.0,436.0,989.0,1512.0,7.5,0
110,10502.0,535.0,2816.0,1801.0,1863.0,2803.0,9.799999999999999,0
111,10149.0,557.0,2724.0,270.0,2266.0,2271.0,15.4,0
112,18118.0,562.0,10444.0,867.0,7580.0,7998.0,49.7,0
113,23741.0,831.0,5231.0,1073.0,2608.0,4688.0,42.70000000000001,0
114,12071.0,395.0,4945.0,623.0,4181.0,4208.0,13.0,0
115,12699.0,465.0,4576.0,930.0,2760.0,3678.0,21.099999999999998,0
116,3970.0,243.0,1081.0,524.0,692.0,1096.0,2.3,0
117,18684.0,774.0,6329.0,1031.0,3159.0,4993.0,45.400000000000006,0
118,6328.0,267.0,1935.0,194.0,1457.0,1463.0,16.900000000000002,0
119,4862.0,239.0,2147.0,330.0,1026.0,1638.0,10.299999999999999,0
120,7025.0,260.0,4128.0,717.0,2284.0,3415.0,15.6,0
121,14928.0,715.0,7006.0,811.0,3252.0,6047.0,26.3,0
122,12093.0,600.0,4344.0,1485.0,2354.0,3617.0,24.0,0
123,20403.0,760.0,7047.0,1272.0,5870.0,6531.0,22.100000000000005,0
124,3520.0,285.0,911.0,124.0,782.0,790.0,6.4,0
125,4342.0,262.0,1326.0,133.0,1244.0,1255.0,2.1,0
126,9064.0,432.0,4406.0,279.0,3011.0,3035.0,31.0,0
127,9059.0,447.0,3331.0,1432.0,2469.0,2851.0,18.0,0
128,26901.0,861.0,13976.0,1928.0,11207.0,11221.0,80.2,1
129,11580.0,507.0,4115.0,887.0,1813.0,3669.0,22.599999999999998,0
130,5629.0,295.0,2192.0,180.0,1531.0,1654.0,11.0,0
131,33560.0,926.0,22897.0,2917.0,14844.0,18105.0,92.40000000000002,6
132,25882.0,812.0,11421.0,1874.0,7765.0,9712.0,47.199999999999996,0
133,4552.0,247.0,1276.0,267.0,548.0,1053.0,5.1000000000000005,0
134,8977.0,299.0,5259.0,413.0,3545.0,4171.0,23.4,0
135,6182.0,260.0,1885.0,419.0,1754.0,1797.0,3.3999999999999995,0
136,12005.0,374.0,5086.0,1086.0,2562.0,4177.0,28.0,0
137,17982.0,757.0,7164.0,761.0,3749.0,6140.0,35.800000000000004,0
138,11412.0,322.0,6227.0,1258.0,3727.0,4461.0,47.8,2
139,17702.0,576.0,4628.0,1526.0,4066.0,4230.0,34.5,0
140,5244.0,257.0,2079.0,292.0,1544.0,1822.0,8.200000000000001,0
141,9326.0,371.0,3196.0,855.0,1673.0,2880.0,12.700000000000001,0
142,13578.0,656.0,6808.0,549.0,3996.0,6097.0,22.5,0
143,13655.0,594.0,3828.0,2494.0,1612.0,3298.0,32.4,0
144,7798.0,390.0,3143.0,458.0,1566.0,2721.0,13.700000000000001,0
145,30372.0,961.0,14609.0,5253.0,6217.0,10561.0,114.2,3
146,6583.0,420.0,1805.0,226.0,1580.0,1612.0,10.1,0
147,11907.0,675.0,3663.0,328.0,2391.0,2450.0,38.60000000000001,0
148,31936.0,893.0,17189.0,1795.0,11671.0,12581.0,106.00000000000001,1
149,3332.0,236.0,1473.0,206.0,896.0,1264.0,4.2,0
150,13067.0,515.0,3593.0,2514.0,2043.0,3083.0,22.800000000000004,0
151,3985.0,252.0,1654.0,154.0,1191.0,1393.0,6.4,0
152,4381.0,222.0,1571.0,254.0,1054.0,1309.0,5.4,0
153,8962.0,486.0,1615.0,176.0,1536.0,1540.0,17.1,0
154,15526.0,606.0,3946.0,2690.0,1652.0,3440.0,25.0,0
155,8599.0,386.0,4630.0,292.0,3411.0,3552.0,19.4,0
156,19642.0,735.0,8208.0,921.0,6999.0,7023.0,24.700000000000003,0
157,7819.0,382.0,2932.0,212.0,2464.0,2477.0,11.5,0
158,15260.0,489.0,5614.0,935.0,3735.0,4864.0,33.7,0
159,5605.0,308.0,2372.0,314.0,1372.0,2117.0,11.1,0
160,9552.0,358.0,4144.0,964.0,2028.0,3035.0,26.5,0
161,29646.0,834.0,15610.0,8251.0,8922.0,11614.0,154.7,8
